ANDHRA PRADESH,"","","","",""
3 . SYED YOUSUF ALI,M 49,GEN TDP,304065,206,304271
2 . YEDLA RAMU,M 48,GEN BSP,21132,1,21133
4 . BAISA RAMADASU,M 48,GEN IND,14891,2,14893
"",TOTAL:,"",781638,801,782439
Constituency  : 35 . ADILABAD,"","","","",""
2 . MADHUSUDHAN REDDY TAKKALA,M 59,GEN TRS,414950,479,415429
1 . DR S VENUGOPALA CHARY,M 42,GEN TDP,374204,251,374455
3 . MOTHE BARIK RAO,M 32,SC PRBP,23279,3,23282
4 . NAINALA GOVERDHAN,M 30,GEN IND,18168,3,18171
"",TOTAL:,"",830601,736,831337
Constituency  : 36 . PEDDAPALLI (SC),"","","","",""
2 . G. VENKAT SWAMY,M 76,SC INC,571720,487,572207
3 . DR.MT. C. SUGUNA,F 48,SC TDP,308911,161,309072
1 . KANNAM RAGHU,M 39,SC BSP,26554,0,26554
4 . KAMPELLI SRINIVAS,M 30,SC IND,14151,0,14151
6 . MADDELA ODELU,M 27,SC IND,8829,0,8829
5 . KAMILLA JAYA RAO,M 38,SC IND,8637,0,8637
"",TOTAL:,"",938802,648,939450
Constituency  : 37 . KARIMNAGAR,"","","","",""
3 . K. CHANDRA SHAKHER RAO,M 51,GEN TRS,450600,599,451199
2 . CHENNAMANENI VIDYASAGAR RAO,M 61,GEN BJP,319857,174,320031
4 . MAMIDIPALLI GANGARAJAM,M 50,GEN IND,59685,1,59686
1 . KOTHAPALLI SANDRI MENAYYA,M 69,GEN BSP,43580,2,43582
"",TOTAL:,"",873722,776,874498
Constituency  : 38 . HANAMKONDA,"","","","",""
4 . B.VINOD KUMAR,M 45,GEN TRS,495574,474,496048
2 . CHADA SURESH REDDY,M 45,GEN TDP,278856,125,278981
6 . PAKALA DEVADANAM,M 69,GEN IND,16587,0,16587
1 . DR.KAITHA VENKATI,M 58,SC BSP,16094,0,16094
3 . POLEPALLY NAROTHAM REDDY,M 37,GEN JP,12582,0,12582
5 . DR.DHARMAPUR SAMPATH RAJARAM YADAV,M 52,GEN IND,11631,3,11634
"",TOTAL:,"",831324,602,831926


ANDHRA PRADESH,"","","","",""
Constituency  : 39 . WARANGAL,"","","","",""
5 . DHARAVATH  RAVINDER NAIK,M 56,ST TRS,427141,460,427601
1 . BODAKUNTI VENKATESHWARLU,M 47,GEN TDP,408190,149,408339
4 . KONDAL RAO RAVULAPELLI,M 51,GEN PPOI,19080,0,19080
8 . NALLANI SWAMI RAO,M 58,GEN IND,16424,0,16424
2 . MAMIDALA ELIA,M 59,GEN BSP,14376,0,14376
7 . GADE JHANSI,F 41,GEN IND,9619,0,9619
3 . UPENDAR REDDY VALLEPU,M 32,GEN MCPI(S),7079,1,7080
10 . MUMJALA BIKSHAPATHI,M 27,GEN IND,6930,0,6930
6 . INDIRA KALLEPELLI,F 32,GEN IND,6829,0,6829
9 . BELLAIAH TEJAVATH,M 32,ST IND,5594,0,5594
"",TOTAL:,"",921262,610,921872
Constituency  : 40 . KHAMMAM,"","","","",""
2 . RENUKA CHOWDHURY,F 49,GEN INC,515783,2264,518047
1 . NAMA NAGESWARA RAO,M 45,GEN TDP,408470,689,409159
5 . ARUNA CHANDRA,F 45,GEN IND,50590,29,50619
9 . BURRA VENKANNA,M 39,SC IND,14552,0,14552
3 . NALAJALA SAROJA,F 46,GEN PPOI,10252,3,10255
7 . PADIGA YERRAIAH,M 59,ST IND,8316,0,8316
6 . NAMA NAIK ISLAVATH,M 43,ST IND,5899,0,5899
4 . PITTALA VENKATA NARASAIAH MUDIRA,M 49,GEN MRS,3344,1,3345
8 . BANOTH SOMLA NAIK,M 58,ST IND,2985,0,2985
"",TOTAL:,"",1020191,2986,1023177
Constituency  : 41 . NALGONDA,"","","","",""
3 . SURAVARAM SUDHAKAR REDDY,M 62,GEN CPI,478848,663,479511
1 . NALLU INDRASENA REDDY,M 53,GEN BJP,423090,270,423360
