Andhra Pradesh,"","","","","","","",""
 12 DR. P. SADHU ,M  61 ,GEN,ICSP Trumpet, 2487 , 58 , 2545 , 0.12 , 0.19 
SATYANADHAN,"","","","","","","",""
 13 SUTHARAPU ,M  61 ,GEN,APRSSP Batsman, 2211 , 3 , 2214 , 0.10 , 0.17 
PADMAIAH,"","","","","","","",""


 14 G.MALLESHAM GOUD,M  38 ,GEN,IND Auto- , 24650 , 10 , 24660 , 1.13 , 1.86 
"","","",Rickshaw,"","","","",""
 15 SANIKE RAM GOPAL ,M  47 ,GEN,IND Ring, 2056 , 2 , 2058 , 0.09 , 0.16 
YADAV,"","","","","","","",""
 16 None of the Above,"","",NOTA NOTA, 9989 , 29 , 10018 , 0.46 , 0.76 
"","","",TOTAL:, 1309409 , 6453 , 1315862 , 60.22, 99.51
 CONSTITUENCY : 11 . M,ahbubnagar,"",( Total Electors, 1418668 ),"","","",""
 1 KADIRE KRISHNA,M  37 ,SC,BSP Elephant, 15690 , 89 , 15779 , 1.11 , 1.55 
 2 DR. JANARDHAN ,M  65 ,GEN,BJP Lotus, 270102 , 2689 , 272791 , 19.23 , 26.86 
REDDY NAGAM,"","","","","","","",""
 3 JAIPAL REDDY SUDIN,I M  72 ,GEN,INC Hand, 330167 , 1471 , 331638 , 23.38 , 32.66 
 4 AP JITHENDER REDDY,M  60 ,GEN,TRS Car, 332581 , 1647 , 334228 , 23.56 , 32.91 
 5 S.R.PREMAIAH,M  60 ,SC,PPOI Auto- , 30379 , 9 , 30388 , 2.14 , 2.99 
"","","",Rickshaw,"","","","",""
 6 H.A. RAHMAN,M  44 ,GEN,YSRCP Ceiling Fan, 9065 , 40 , 9105 , 0.64 , 0.90 
 7 IBRAHIM SYED,M  44 ,GEN,IND Almirah, 4487 , 62 , 4549 , 0.32 , 0.45 
 8 DR. CHANDRA ,M  45 ,GEN,IND Stethoscop,e  3983 , 50 , 4033 , 0.28 , 0.40 
SEKHAR. A,"","","","","","","",""
